,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.05616826519517794,0.11730427078003487,0.03470646552465389,0.09486624813956242,0.26283718253397115,0.05067843627448925,0.02821418163181012,0.045507964552727924,0.01931644916134683,0.006891401792278671,0.008632683400939407,0.005681746226999106
Sensor2,0.02054398709142289,0.08593305299654565,0.08593305299654565,0.028055916896754438,0.17415624220465653,0.17415624220465653,0.012529553668906181,0.037668712988192604,0.037668712988192604,0.00451196315984647,0.007939137134182126,0.007939137134182126
Sensor3,0.007750581377904679,0.03320498104385636,0.11604200485543173,0.009294148587250962,0.04955336573161863,0.2587390732112116,0.005749525842481791,0.018678927133853794,0.04521360086566019,0.002563040889635767,0.005580561802618692,0.008608573036261735
Sensor4,0.033121690495542644,0.054643816836875615,0.02225890381999857,0.09716150693171927,0.27408112221020736,0.051533693720069634,0.0500155562071341,0.09296609021530802,0.031122901827244625,0.011023283255718356,0.014601475929245556,0.009272122571978408
Sensor5,0.013961222806933111,0.04594134044758582,0.04594134044758582,0.028427289281549174,0.18006729247664183,0.18006729247664183,0.018700383691219215,0.07159741012328717,0.07159741012328717,0.006948293459101294,0.01313481940257071,0.01313481940257071
Sensor6,0.006196031476845176,0.02147224140643034,0.054272787883936205,0.009363174517371413,0.05042142863774878,0.26950779555843,0.007320232467764015,0.029829909154572707,0.09211512895244695,0.0035123575550757655,0.009063153929430414,0.014549553195914193
Sensor7,0.004795642815576738,0.005782052392847369,0.004074383437586931,0.018361445856577258,0.027133655862395963,0.01313481940257071,0.07707835966837809,0.19102693348922006,0.04465958490162632,0.07707835966837809,0.19102693348922006,0.04465958490162632
Sensor8,0.003261188610150404,0.005395881735311668,0.005395881735311668,0.00944979895748883,0.023376653045620227,0.023376653045620227,0.024928959309807198,0.13316043339219621,0.13316043339219621,0.024928959309807198,0.13316043339219621,0.13316043339219621
Sensor9,0.0020406981770174446,0.003897784344600123,0.0057687678820847925,0.004695543125607822,0.012791866813703225,0.026996760683794245,0.008687854997085976,0.04247046627588502,0.18841652080118204,0.008687854997085976,0.04247046627588502,0.18841652080118204
Sensor10,0.0029275929790807246,0.0033808465574137326,0.0025769688864575057,0.010222765277312931,0.013379640834502774,0.008632683400939407,0.0500155562071341,0.09296609021530802,0.031122901827244625,0.09885503734521138,0.27920197948751374,0.05215846474425606
Sensor11,0.0022019712919207593,0.0032067175032439955,0.0032067175032439955,0.006529243384759918,0.01209262990064329,0.01209262990064329,0.018700383691219215,0.07159741012328717,0.07159741012328717,0.02869708049939649,0.1845003579545678,0.1845003579545678
Sensor12,0.0014870462312058105,0.002546053447450671,0.0033749232357982556,0.003359915854062125,0.008444698465368841,0.013334234808952797,0.007320232467764015,0.029829909154572707,0.09211512895244695,0.009412947223997273,0.05105566849552814,0.27800434995566864
