,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20,Light21,Light22,Light23,Light24,Light25,Light26,Light27,Light28,Light29,Light30,Light31,Light32,Light33,Light34,Light35,Light36,Light37,Light38,Light39,Light40,Light41,Light42,Light43,Light44,Light45,Light46,Light47,Light48,Light49,Light50,Light51,Light52,Light53,Light54,Light55,Light56,Light57,Light58,Light59,Light60,Light61,Light62,Light63,Light64,Light65,Light66,Light67,Light68,Light69,Light70,Light71,Light72,Light73,Light74,Light75,Light76,Light77,Light78,Light79,Light80
Sensor1,0.003972027888657602,0.017337732825827377,0.02814830662964599,0.005040143416780527,0.0,0.0,0.0,0.0,0.013259132061570544,0.27790582713297957,0.28583580326590463,0.017337732825827377,0.0,0.0,0.0,0.0,0.011012128665749353,0.10743048531089351,0.21999513535021165,0.014514392646210982,0.0,0.0,0.0,0.0,0.0013236765791758468,0.010004446884301792,0.011012128665749353,0.0015889238629763394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.0,0.003972027888657602,0.017337732825827377,0.017337732825827377,0.003972027888657602,0.0,0.0,0.0,0.0,0.013259132061570544,0.27790582713297957,0.27790582713297957,0.013259132061570544,0.0,0.0,0.0,0.0,0.011012128665749353,0.10743048531089351,0.10743048531089351,0.011012128665749353,0.0,0.0,0.0,0.0,0.0013236765791758468,0.010004446884301792,0.010004446884301792,0.0013236765791758468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.0,0.0,0.0,0.004496576881028103,0.026635419251639814,0.026635419251639814,0.004496576881028103,0.0,0.0,0.0,0.0,0.015235591721717063,0.31508936230275286,0.31508936230275286,0.015235591721717063,0.0,0.0,0.0,0.0,0.012714648171265252,0.11669064150091646,0.11669064150091646,0.012714648171265252,0.0,0.0,0.0,0.0,0.0014547266581940326,0.010541411222940052,0.010541411222940052,0.0014547266581940326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016049395180377755,0.013461798086779027,0.014733085013663194,0.004026427008671993,0.0,0.0,0.0,0.0,0.012282721750330001,0.22886433069446316,0.28882552436611697,0.01610662631866145,0.0,0.0,0.0,0.0,0.012282721750330001,0.22886433069446316,0.28882552436611697,0.01610662631866145,0.0,0.0,0.0,0.0,0.0016049395180377755,0.013461798086779027,0.014733085013663194,0.004026427008671993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016049395180377755,0.013461798086779027,0.013461798086779027,0.0016049395180377755,0.0,0.0,0.0,0.0,0.012282721750330001,0.22886433069446316,0.22886433069446316,0.012282721750330001,0.0,0.0,0.0,0.0,0.012282721750330001,0.22886433069446316,0.22886433069446316,0.012282721750330001,0.0,0.0,0.0,0.0,0.0016049395180377755,0.013461798086779027,0.013461798086779027,0.0016049395180377755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035681355812310052,0.014138359281922476,0.014138359281922476,0.0035681355812310052,0.0,0.0,0.0,0.0,0.014138359281922476,0.2597608469871918,0.2597608469871918,0.014138359281922476,0.0,0.0,0.0,0.0,0.014138359281922476,0.2597608469871918,0.2597608469871918,0.014138359281922476,0.0,0.0,0.0,0.0,0.0035681355812310052,0.014138359281922476,0.014138359281922476,0.0035681355812310052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035681355812310052,0.014138359281922476,0.014138359281922476,0.0035681355812310052,0.0,0.0,0.0,0.0,0.014138359281922476,0.2597608469871918,0.2597608469871918,0.014138359281922476,0.0,0.0,0.0,0.0,0.014138359281922476,0.2597608469871918,0.2597608469871918,0.014138359281922476,0.0,0.0,0.0,0.0,0.0035681355812310052,0.014138359281922476,0.014138359281922476,0.0035681355812310052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014547266581940326,0.012714648171265252,0.015235591721717063,0.0035681355812310052,0.0,0.0,0.0,0.0,0.010541411222940052,0.11669064150091646,0.31508936230275286,0.014138359281922476,0.0,0.0,0.0,0.0,0.010541411222940052,0.11669064150091646,0.31508936230275286,0.014138359281922476,0.0,0.0,0.0,0.0,0.0014547266581940326,0.012714648171265252,0.015235591721717063,0.0035681355812310052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035681355812310052,0.014138359281922476,0.014138359281922476,0.0035681355812310052,0.0,0.0,0.0,0.0,0.014138359281922476,0.2597608469871918,0.2597608469871918,0.014138359281922476,0.0,0.0,0.0,0.0,0.014138359281922476,0.2597608469871918,0.2597608469871918,0.014138359281922476,0.0,0.0,0.0,0.0
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014547266581940326,0.012714648171265252,0.015235591721717063,0.0035681355812310052,0.0,0.0,0.0,0.0,0.010541411222940052,0.11669064150091646,0.31508936230275286,0.014138359281922476,0.0,0.0,0.0,0.0,0.010541411222940052,0.11669064150091646,0.31508936230275286,0.014138359281922476,0.0,0.0,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035681355812310052,0.014138359281922476,0.014138359281922476,0.0,0.0,0.0,0.0,0.0,0.014138359281922476,0.2597608469871918,0.2597608469871918,0.0,0.0,0.0,0.0,0.0,0.014138359281922476,0.2597608469871918,0.2597608469871918,0.0,0.0,0.0,0.0,0.0,0.0035681355812310052,0.014138359281922476,0.014138359281922476
